Species,Cold Season Count,Warm Season Count,Count,Percentage Change
Baird's Beaked Whale,0,1,1,100
baleen whales,0,1,1,100
beaked whales,1,0,-1,-100
Blue Whale,6,31,25,80.6
Bottlenose Dolphin,9,8,-1,-12.5
cetaceans,79,84,5,6
common dolphins,45,80,35,43.8
Common Minke Whale,3,14,11,78.6
Cuvier's Beaked Whale,1,2,1,50
Dall's Porpoise,15,42,27,64.3
dolphins,30,55,25,45.5
False Killer Whale,1,0,-1,-100
Fin Whale,25,28,3,10.7
Gray Whale,10,4,-6,-150
Harbor Porpoise,0,1,1,100
Humpback Whale,16,62,46,74.2
Killer Whale,0,2,2,100
Long-beaked Common Dolphin,18,27,9,33.3
Northern Right Whale Dolphin,4,14,10,71.4
Pacific White-sided Dolphin,22,39,17,43.6
Risso's Dolphin,11,15,4,26.7
Short-beaked Common Dolphin,73,91,18,19.8
Short-finned Pilot Whale,0,1,1,100
Sperm Whale,7,14,7,50
Striped Dolphin,1,2,1,50
